OK src/assets/global/intro.mp4  6.96MB -> .80MB
OK src/assets/projects/dampulse/insta_reel.mp4  4.95MB -> 1.04MB
OK src/assets/projects/dampulse/insta_swipe.mp4  3.60MB -> .18MB
OK src/assets/projects/dampulse/logo_animation_02.mp4  .39MB -> .03MB
OK src/assets/projects/fn5/video_02.mp4  5.75MB -> 1.04MB
OK src/assets/projects/fn5/video_03.mp4  7.12MB -> 1.15MB
OK src/assets/projects/p/animation.mp4  .10MB -> .01MB
OK src/assets/projects/p/phone_animation.mp4  8.63MB -> .42MB
OK src/assets/projects/p/web_animation.mp4  4.82MB -> .66MB
OK src/assets/projects/telic/gif.mp4  .14MB -> .10MB
OK src/assets/projects/telic/logo_animation_v2.mp4  .46MB -> .06MB
OK src/assets/projects/92arc/92ArcCover03.jpg  .52MB -> .18MB
OK src/assets/projects/dampulse/logo.jpg  .60MB -> .04MB
OK src/assets/projects/dampulse/logo_02.jpg  .67MB -> .04MB
OK src/assets/projects/dampulse/post_wall.jpg  2.25MB -> .31MB
OK src/assets/projects/fn5/img_01.jpg  6.62MB -> .60MB
OK src/assets/projects/fn5/img_03.jpg  2.53MB -> .26MB
OK src/assets/projects/fn5/logo.jpg  .56MB -> .03MB
OK src/assets/projects/fn5/page_01.jpg  .45MB -> .37MB
OK src/assets/projects/fn5/page_02.jpg  .37MB -> .26MB
OK src/assets/projects/p/cd.jpg  .43MB -> .02MB
OK src/assets/projects/p/insta_feed.jpg  .59MB -> .14MB
OK src/assets/projects/p/post_02.jpg  .57MB -> .04MB
OK src/assets/projects/telic/brandguidelines_02.jpg  2.30MB -> .19MB
OK src/assets/projects/telic/color_03.jpg  .72MB -> .06MB
OK src/assets/projects/telic/cover_02.jpg  .49MB -> .03MB
OK src/assets/projects/telic/diagram.jpg  .57MB -> .04MB
OK src/assets/projects/telic/icon_01.jpg  .77MB -> .11MB
OK src/assets/projects/telic/icon_02.jpg  .49MB -> .06MB
OK src/assets/projects/telic/insta_post.jpg  .43MB -> .12MB
OK src/assets/projects/telic/lockup_03.jpg  .84MB -> .06MB
OK src/assets/projects/telic/social.jpg  .46MB -> .06MB
OK src/assets/projects/92arc/92ArcCover04.png  2.93MB -> 2.06MB
ALLDONE
